PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
Dwayne Washington,NO,2.53,36.36,2.63,11,108,9.8,0,2018,17
Joe Mixon,CIN,2.52,--,2.73,13,105,8.1,0,2018,17
Doug Martin,OAK,3.53,33.33,2.89,21,100,4.8,0,2018,17
Zach Zenner,DET,3.24,23.81,2.87,21,93,4.4,1,2018,17
Derrick Henry,TEN,3.49,25,2.97,16,93,5.8,0,2018,17
Gus Edwards,BAL,2.43,8.33,2.49,12,76,6.3,0,2018,17
Peyton Barber,TB,3.5,26.67,2.87,15,66,4.4,0,2018,17
James Conner,PIT,3.51,--,2.68,14,64,4.6,0,2018,17
David Johnson,ARI,3.6,29.41,2.7,17,62,3.6,0,2018,17
Royce Freeman,DEN,4.37,5.88,2.74,17,60,3.5,0,2018,17
Lamar Miller,HOU,3.72,29.41,2.58,17,56,3.3,1,2018,17
Cameron Artis-Payne,CAR,4.63,31.25,2.85,16,56,3.5,1,2018,17
Wendell Smallwood,PHI,3.23,33.33,2.7,12,53,4.4,0,2018,17
Damien Williams,KC,3.78,27.27,2.67,11,51,4.6,1,2018,17
Josh Adams,PHI,3.72,18.18,2.89,11,50,4.5,0,2018,17
Sony Michel,NE,4.52,35.71,2.8,14,50,3.6,0,2018,17
Kalen Ballage,MIA,3.15,8.33,2.51,12,47,3.9,0,2018,17
Chris Ivory,BUF,4.46,21.43,3.04,14,45,3.2,0,2018,17
Kenyan Drake,MIA,4.27,18.18,2.91,11,43,3.9,0,2018,17
Melvin Gordon,LAC,3.62,60,2.29,10,42,4.2,0,2018,17
Elijah McGuire,NYJ,8.39,50,3.46,18,41,2.3,0,2018,17
Dalvin Cook,MIN,5.19,18.18,2.66,11,39,3.5,0,2018,17
Rod Smith,DAL,4.48,25,2.63,12,35,2.9,1,2018,17
Darrel Williams,KC,6.22,--,3.29,11,31,2.8,0,2018,17
John Kelly,LAR,7.76,13.33,2.87,15,30,2,0,2018,17
LeSean McCoy,BUF,8.33,10,3.66,10,26,2.6,1,2018,17
Travaris Cadet,CAR,7.11,45.45,2.76,11,17,1.5,0,2018,17
LeGarrette Blount,DET,8.2,27.27,2.82,11,15,1.4,0,2018,17
Carlos Hyde,JAX,9.62,10,2.83,10,13,1.3,0,2018,17
