PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC,xYAC,+/-,Season,Week
Eric Ebron,IND,TE,6.3,5.5,9.1,30.45,5,11,45.45,33,0,4.4,7.8,-3.4,2018,3
Jared Cook,OAK,TE,7.6,2.2,0.1,0.18,5,6,83.33,31,0,6,6.1,-0.1,2018,3
Martavis Bryant,OAK,WR,7.2,1.1,14.8,30.29,2,5,40,30,0,3.9,1.6,2.3,2018,3
Adam Humphries,TB,WR,5.8,3.1,4.6,4.22,3,5,60,30,0,4.9,5.8,-0.9,2018,3
Taywan Taylor,TEN,WR,3.9,3.9,6.8,41.49,4,5,80,30,0,2.2,2.6,-0.5,2018,3
Brandon Marshall,SEA,WR,2.3,1.2,10.2,27.87,2,6,33.33,30,0,6.6,4.9,1.7,2018,3
Kelvin Benjamin,BUF,WR,5.9,1.4,9.5,26.01,3,5,60,29,0,1.5,2.8,-1.3,2018,3
Nick Vannett,SEA,TE,6.8,3.5,8.2,18.66,4,5,80,27,0,2.9,3.1,-0.2,2018,3
Nelson Agholor,PHI,WR,4.6,5,7.9,14.38,4,5,80,24,0,4.8,4.5,0.2,2018,3
Randall Cobb,GB,WR,4.8,2.5,10.4,32.57,4,11,36.36,22,0,2.9,7.4,-4.5,2018,3
Ian Thomas,CAR,TE,6.2,2.8,5.4,12.38,3,5,60,20,0,1.1,4.1,-3.1,2018,3
Antonio Callaway,CLE,WR,4.1,2.6,16.7,42.98,4,11,36.36,20,0,1.7,3.8,-2.1,2018,3
Torrey Smith,CAR,WR,7.1,1.8,13.6,37.35,3,6,50,19,0,-0.3,-0.5,0.1,2018,3
Austin Seferian-Jenkins,JAX,TE,5.2,2.7,6,21.7,3,5,60,18,0,1.1,1.7,-0.6,2018,3
Stefon Diggs,MIN,WR,6,2.4,12.1,38.07,4,10,40,17,0,1.2,4.2,-3,2018,3
Amari Cooper,OAK,WR,3.8,3.3,14.4,29.64,2,5,40,17,0,5.4,4,1.4,2018,3
John Ross,CIN,WR,7.6,3.4,13.4,20.59,3,7,42.86,16,0,4.2,3.8,0.4,2018,3
Ted Ginn,NO,WR,7.8,3.7,10.4,24.24,3,6,50,12,1,5.1,7.5,-2.3,2018,3
Phillip Dorsett,NE,WR,8.4,2.3,24.2,43.44,0,5,--,,0,--,--,--,2018,3
Julio Jones,ATL,WR,4.5,2.9,13,36.95,9,12,75,173,0,5.8,4.9,1,2018,4
DeAndre Hopkins,HOU,WR,5.9,2.7,14.8,54.77,10,12,83.33,169,1,4.2,6.1,-1.9,2018,4
Cooper Kupp,LAR,WR,5,3.4,9.1,35.57,9,11,81.82,162,2,10,7.2,2.9,2018,4
Corey Davis,TEN,WR,7.2,3.3,12.9,49.1,9,15,60,161,1,6.3,8.8,-2.5,2018,4
Adam Thielen,MIN,WR,5.2,2.3,9.9,35.59,8,12,66.67,135,1,3.8,3.1,0.8,2018,4
Golden Tate,DET,WR,7.2,2.3,8,27.96,8,8,100,132,2,8.5,4.5,4,2018,4
Dede Westbrook,JAX,WR,5.1,4.9,7.9,52.3,9,13,69.23,130,0,9,8.5,0.5,2018,4
Amari Cooper,OAK,WR,6.5,4.1,10.6,26.9,8,11,72.73,128,1,6.3,6.7,-0.4,2018,4
George Kittle,SF,TE,4.5,4,8,28.4,6,8,75,125,1,14.6,7.8,6.8,2018,4
Stefon Diggs,MIN,WR,5.3,3.4,6.1,27.19,11,15,73.33,123,0,8.3,6.4,1.8,2018,4
Brandin Cooks,LAR,WR,5.9,3.6,11.9,33.99,7,8,87.5,116,1,3,5.2,-2.2,2018,4
John Brown,BAL,WR,4.7,1.3,28.7,55.68,3,7,42.86,116,1,10.8,9.3,1.5,2018,4
T.Y. Hilton,IND,WR,5.1,3.2,18,21.53,4,6,66.67,115,0,7.8,4.4,3.3,2018,4
DeSean Jackson,TB,WR,7.1,3.8,16.7,35.99,5,8,62.5,112,0,8.2,6.8,1.4,2018,4
Zach Ertz,PHI,TE,4.7,3.9,6.9,24.57,10,14,71.43,112,0,3.7,4.9,-1.2,2018,4
Mohamed Sanu,ATL,WR,4.6,2.9,14.2,30.28,6,9,66.67,111,0,7.7,6.8,0.9,2018,4
Jared Cook,OAK,TE,3.4,3.1,7.1,21.3,8,13,61.54,110,2,4.9,5.9,-1,2018,4
Keke Coutee,HOU,WR,6.1,5.2,2.3,10.88,11,15,73.33,109,0,9,10.6,-1.5,2018,4
Donte Moncrief,JAX,WR,5.3,3.3,11.4,29.04,5,5,100,109,1,10.4,8.4,2,2018,4
Alshon Jeffery,PHI,WR,4.8,2.5,11,25.2,8,9,88.89,105,1,4.7,4.3,0.4,2018,4
Taylor Gabriel,CHI,WR,6,3.7,9.6,24.72,7,7,100,104,2,5.2,7.2,-2,2018,4
Robert Woods,LAR,WR,6.7,4,13,23.19,5,5,100,101,1,7.2,6.6,0.6,2018,4
Tyler Boyd,CIN,WR,4.4,2.8,5.1,25.22,11,15,73.33,100,0,5.9,5.4,0.5,2018,4
Chester Rogers,IND,WR,6,4.3,5.8,12.6,8,11,72.73,85,0,6.8,6.8,0,2018,4
Davante Adams,GB,WR,3.4,2.9,9.4,33.1,8,14,57.14,81,0,6.6,6.6,0,2018,4
Geronimo Allison,GB,WR,6.2,4.4,14.6,40.23,6,11,54.55,80,0,6.2,5.3,0.9,2018,4
Travis Kelce,KC,TE,5.7,2.3,5.9,20.1,7,12,58.33,78,1,6.1,5.3,0.8,2018,4
A.J. Green,CIN,WR,3.5,1.7,18.7,49.41,4,8,50,78,1,5.8,9.2,-3.4,2018,4
Taywan Taylor,TEN,WR,8.9,3.7,12.1,27.62,7,9,77.78,77,0,4.2,3.6,0.6,2018,4
Sterling Shepard,NYG,WR,5.3,3.8,5,19.87,10,10,100,77,1,2.9,2.9,0,2018,4
Quincy Enunwa,NYJ,WR,6,2.3,9.9,21.74,4,8,50,66,0,10.8,3.2,7.5,2018,4
Ryan Grant,IND,WR,5.4,2.9,8.5,11.89,5,7,71.43,64,0,2.2,3.3,-1.2,2018,4
Keenan Allen,LAC,WR,4.8,1.9,7.6,28.96,7,10,70,63,0,2.3,3.5,-1.2,2018,4
Vance McDonald,PIT,TE,6.3,4.2,2.7,4.2,5,5,100,62,0,9.8,5.9,3.9,2018,4
Antonio Brown,PIT,WR,4.2,2.9,9.6,32.67,5,11,45.45,62,1,5.5,3.3,2.2,2018,4
Rashard Higgins,CLE,WR,8.8,1.8,11.7,14.86,4,5,80,61,0,2.5,2.8,-0.2,2018,4
Odell Beckham,NYG,WR,7.8,4.2,7.6,33.55,7,11,63.64,60,0,3.7,4.2,-0.5,2018,4
JuJu Smith-Schuster,PIT,WR,5.8,3,12.8,43.5,4,11,36.36,60,0,3.6,7.3,-3.7,2018,4
Mike Evans,TB,WR,7.1,1.8,12.9,31.3,6,9,66.67,59,0,0.3,1,-0.7,2018,4
Jeff Heuerman,DEN,TE,7.3,4.5,6.5,17.31,4,7,57.14,57,0,7.5,8.5,-1,2018,4
Kyle Rudolph,MIN,TE,3,3.7,5.2,9.36,5,6,83.33,57,0,6.1,4.9,1.2,2018,4
Zach Pascal,IND,WR,5,1.9,12.3,24.45,6,10,60,56,1,2.2,2.6,-0.4,2018,4
Willie Snead,BAL,WR,3.5,2,6.3,12.2,6,7,85.71,56,0,3.1,2.2,0.9,2018,4
Marvin Jones,DET,WR,1.9,1.1,12.5,32.83,3,6,50,56,0,3.2,4.1,-0.9,2018,4
Phillip Dorsett,NE,WR,6.7,3,15.1,41.47,4,7,57.14,55,1,7.9,4.2,3.7,2018,4
Tyreek Hill,KC,WR,6.1,3.4,6.7,24.79,9,13,69.23,54,0,2.5,4.6,-2.1,2018,4
Antonio Callaway,CLE,WR,5.9,3.1,15.4,35.05,3,9,33.33,54,0,14,12.2,1.8,2018,4
Calvin Ridley,ATL,WR,5.3,4,12.5,17.77,4,6,66.67,54,2,4.6,4.2,0.3,2018,4
Cordarrelle Patterson,NE,WR,4.3,4.7,1.7,3.33,3,5,60,54,1,14.7,14.6,0.1,2018,4
Tyler Lockett,SEA,WR,5.2,3.5,5.7,29.92,5,6,83.33,53,0,4.7,6.6,-1.8,2018,4
Cole Beasley,DAL,WR,4.5,1.8,9.6,17.15,4,5,80,53,0,3.4,3.5,-0.1,2018,4
David Njoku,CLE,TE,6.1,5.1,6.4,11.4,5,7,71.43,52,0,6.2,4.7,1.5,2018,4
Pierre Garcon,SF,WR,5.9,1.9,8,24.63,4,7,57.14,52,0,3.4,5.4,-2,2018,4
Maxx Williams,BAL,TE,8.4,5.8,1.8,2.43,5,5,100,51,0,8.5,7.3,1.1,2018,4
Martavis Bryant,OAK,WR,5.2,2.5,17,27.44,3,7,42.86,51,0,8.6,4.2,4.5,2018,4
Courtland Sutton,DEN,WR,3,2.1,15.3,34.79,3,6,50,51,0,1.5,2.4,-1,2018,4
Will Fuller,HOU,WR,4.5,4.1,14.2,21.97,4,5,80,49,1,1,2.5,-1.4,2018,4
Tyrell Williams,LAC,WR,6.1,1.8,8.1,15.62,3,5,60,48,0,6.6,7.1,-0.5,2018,4
Jordy Nelson,OAK,WR,4.7,2.7,8.9,16.44,5,8,62.5,48,1,2.7,3.4,-0.7,2018,4
Laquon Treadwell,MIN,WR,6.3,3.3,6,12.55,4,7,57.14,47,0,4.4,4,0.4,2018,4
Emmanuel Sanders,DEN,WR,5.6,2.9,7.9,21.11,5,7,71.43,45,0,2.8,5.3,-2.6,2018,4
Michael Gallup,DAL,WR,4.1,1.4,16.3,29.03,2,5,40,45,0,2.9,2.6,0.3,2018,4
Rob Gronkowski,NE,TE,4.9,2.4,12.1,33.34,4,7,57.14,44,0,2.4,2.3,0.2,2018,4
Doug Baldwin,SEA,WR,5.3,3.7,8.4,51.83,5,7,71.43,41,0,1.9,3.7,-1.7,2018,4
Charles Clay,BUF,TE,9.4,4,3.3,6.59,4,6,66.67,40,0,5.5,5.5,0.1,2018,4
Eric Ebron,IND,TE,7.8,2.6,7.6,15.12,5,10,50,40,1,1,1.4,-0.4,2018,4
Kenny Stills,MIA,WR,3.9,2.1,20.4,49.84,3,6,50,40,0,3.5,4.1,-0.5,2018,4
Geoff Swaim,DAL,TE,3.8,3.9,9.3,16.63,3,5,60,39,1,10.4,3.8,6.6,2018,4
Zay Jones,BUF,WR,4.3,1.9,12.4,28.53,4,7,57.14,38,0,0.8,1.2,-0.4,2018,4
Adam Humphries,TB,WR,9.1,3.8,4.5,8.51,6,7,85.71,36,0,2.8,4.1,-1.3,2018,4
Nick Boyle,BAL,TE,6.3,3.9,4,5.56,3,5,60,36,0,10.4,5.4,5,2018,4
Kelvin Benjamin,BUF,WR,5.2,2.1,15.2,30.03,1,6,16.67,34,0,6.7,4.6,2.2,2018,4
Jarvis Landry,CLE,WR,4.7,2.8,6.6,16.67,4,10,40,34,1,6.1,4.2,1.8,2018,4
Ryan Switzer,PIT,WR,6,3.7,2.1,4.59,7,7,100,32,0,2.5,3.7,-1.2,2018,4
Allen Hurns,DAL,WR,4.1,0.6,7.4,13.17,3,5,60,30,0,1,2,-0.9,2018,4
Rhett Ellison,NYG,TE,5.9,3.9,7.2,14.49,3,5,60,29,0,3.5,4.2,-0.7,2018,4
Michael Crabtree,BAL,WR,5.1,3.2,8.1,17.97,3,8,37.5,29,0,3,2.9,0.1,2018,4
Christian Kirk,ARI,WR,7.5,4.4,6.4,13.43,4,5,80,28,0,5.9,8.6,-2.7,2018,4
Larry Fitzgerald,ARI,WR,5.6,1.6,10.7,31.5,3,7,42.86,28,0,0.5,1.4,-0.9,2018,4
Demaryius Thomas,DEN,WR,4.3,3.8,7.1,18.96,4,7,57.14,24,0,3.8,3.9,-0.1,2018,4
Jermaine Kearse,NYJ,WR,5.6,1.8,17.1,23.51,2,5,40,23,0,3.3,0.7,2.6,2018,4
Nelson Agholor,PHI,WR,6.4,3.2,9.9,30.22,5,12,41.67,22,0,5.4,5.9,-0.5,2018,4
Jimmy Graham,GB,TE,4.7,2.7,6.7,10.11,3,6,50,21,1,3.4,3,0.4,2018,4
Albert Wilson,MIA,WR,4.2,2.8,12.2,29.8,4,6,66.67,19,0,2.9,6.7,-3.7,2018,4
Robby Anderson,NYJ,WR,8.9,1.7,17.8,29.4,2,6,33.33,18,0,-0.6,-0.8,0.2,2018,4
Chris Conley,KC,WR,9.4,3.5,7,11.91,4,6,66.67,13,0,2.5,3.6,-1.2,2018,4
DeAndre Hopkins,HOU,WR,3.9,1.5,10.9,49.01,9,13,69.23,151,0,7.5,3,4.5,2018,5
Davante Adams,GB,WR,4.2,2.9,11.5,28.17,9,12,75,140,1,5.9,6.6,-0.7,2018,5
Odell Beckham,NYG,WR,8.1,1.9,12.6,43.27,8,14,57.14,131,1,3.8,3.5,0.3,2018,5
Robby Anderson,NYJ,WR,6.1,3.2,18.7,40.84,3,5,60,123,2,13.4,8.3,5.1,2018,5
Adam Thielen,MIN,WR,5.2,2.4,9.9,48.42,7,10,70,116,1,8,6.3,1.7,2018,5
A.J. Green,CIN,WR,3.8,1.8,13.2,51.26,6,10,60,112,0,5.5,6.1,-0.6,2018,5
Zach Ertz,PHI,TE,6.3,4.8,6.5,23.39,10,11,90.91,110,1,5.7,5.1,0.7,2018,5
Demaryius Thomas,DEN,WR,6.1,1.7,19.9,32.85,5,6,83.33,105,1,4.7,3.6,1.1,2018,5
Eric Ebron,IND,TE,4.5,4.1,10.3,31.9,9,15,60,105,2,3.9,3.7,0.3,2018,5
Antonio Brown,PIT,WR,3.2,2.2,11,55.46,6,13,46.15,101,2,5.6,4.1,1.4,2018,5
Travis Kelce,KC,TE,7.9,2.4,11.7,26.79,5,8,62.5,100,0,11,3.6,7.5,2018,5
Kenny Golladay,DET,WR,3.9,1.8,11.1,41.71,4,9,44.44,98,1,12.2,5.7,6.5,2018,5
Robert Woods,LAR,WR,5.6,3.5,7.2,18.63,5,7,71.43,92,0,11.7,6.5,5.2,2018,5
Stefon Diggs,MIN,WR,6.8,4.1,6.1,32.8,10,11,90.91,91,0,6,8.4,-2.4,2018,5
Cooper Kupp,LAR,WR,8.1,4.7,14.5,48.35,6,9,66.67,90,1,9.3,9.8,-0.4,2018,5
Keenan Allen,LAC,WR,6.9,2.9,6.4,31.61,8,9,88.89,90,0,4.7,6.3,-1.6,2018,5
Equanimeous St. Brown,GB,WR,5.7,3.2,18.9,19.36,3,5,60,89,0,12.8,4.1,8.7,2018,5
Sammy Watkins,KC,WR,6.3,3.6,4.9,11.14,6,8,75,78,0,9.2,9.6,-0.4,2018,5
Austin Hooper,ATL,TE,5,4.2,6.9,24.83,9,12,75,77,0,4.1,4.6,-0.6,2018,5
Donte Moncrief,JAX,WR,6.8,2.4,16.4,36.89,6,14,42.86,76,0,2.8,4.9,-2.1,2018,5
Jimmy Graham,GB,TE,4.7,2.3,9.8,20.01,6,10,60,76,0,3.4,2.8,0.6,2018,5
Rob Gronkowski,NE,TE,7.9,4.4,9.4,24.71,6,7,85.71,75,0,3.9,4.1,-0.2,2018,5
Sterling Shepard,NYG,WR,5.5,4.2,10.4,17.85,4,7,57.14,75,0,11.2,10.9,0.3,2018,5
Michael Thomas,NO,WR,3.6,2.3,9.1,26.87,4,5,80,74,0,9.1,8.1,1,2018,5
Mohamed Sanu,ATL,WR,6.1,3.6,6.7,14.09,4,7,57.14,73,1,15.8,12,3.7,2018,5
Emmanuel Sanders,DEN,WR,6.5,2.7,7.7,29.69,9,14,64.29,72,0,3.2,4.9,-1.8,2018,5
Cameron Meredith,NO,WR,5.7,3.6,8.8,26.05,5,5,100,71,0,5.4,7.8,-2.4,2018,5
Keelan Cole,JAX,WR,4.8,2.9,12.1,19.37,4,10,40,70,0,4.3,4.6,-0.3,2018,5
Jarvis Landry,CLE,WR,4.8,5.1,8.8,26.24,5,11,45.45,69,0,9.5,9,0.5,2018,5
David Njoku,CLE,TE,4.1,2.5,5.5,15.08,6,10,60,69,0,7,5.9,1.1,2018,5
Marquez Valdes-Scantling,GB,WR,6,4.3,12.6,28.28,7,11,63.64,68,1,2.7,2.2,0.5,2018,5
Michael Crabtree,BAL,WR,6.3,2.3,8.5,23.33,6,12,50,66,0,3.6,4.7,-1.1,2018,5
Chester Rogers,IND,WR,4.5,2.1,9.3,21.11,8,11,72.73,66,0,2.8,3,-0.2,2018,5
Niles Paul,JAX,TE,8.1,4.2,6.4,9.17,7,9,77.78,65,0,3.7,4.6,-0.9,2018,5
Ryan Griffin,HOU,TE,5.9,2.3,7.6,23.58,6,9,66.67,65,0,3,2.8,0.2,2018,5
Julio Jones,ATL,WR,6.3,2.1,13,35.01,5,9,55.56,62,0,3.5,2.2,1.3,2018,5
Tyreek Hill,KC,WR,7.4,2.3,18.6,37.25,4,7,57.14,61,0,5.4,5.4,0,2018,5
Trent Taylor,SF,WR,6.3,4.1,4.9,14.85,7,8,87.5,61,1,5.1,4.4,0.7,2018,5
Derrick Willies,CLE,WR,5,2.7,11.1,15.11,3,5,60,61,0,11,3.5,7.5,2018,5
John Brown,BAL,WR,4.4,1.7,16.4,52.35,4,14,28.57,58,0,4.4,0.6,3.8,2018,5
Ryan Grant,IND,WR,4.1,2,10.2,18.9,6,9,66.67,58,0,1.5,2,-0.5,2018,5
Willie Snead,BAL,WR,5.9,2.7,7.2,11.48,5,7,71.43,55,0,6.4,3.1,3.3,2018,5
Jamison Crowder,WAS,WR,5.3,2.7,13.3,27.51,4,7,57.14,55,0,5.9,4.7,1.2,2018,5
Dede Westbrook,JAX,WR,3.3,3.5,8.4,6.71,3,5,60,55,0,8.5,4.9,3.6,2018,5
Devin Funchess,CAR,WR,4.2,1.4,11.9,28.48,4,7,57.14,53,0,1.6,0.5,1.1,2018,5
Keke Coutee,HOU,WR,6.5,4.6,8.4,20.24,6,7,85.71,51,1,2.2,3.6,-1.4,2018,5
Paul Richardson,WAS,WR,7.7,4.4,10.8,15.95,4,5,80,50,0,3.1,5.4,-2.2,2018,5
Pierre Garcon,SF,WR,7.1,3.6,7.5,37,5,13,38.46,47,0,5.9,6.6,-0.6,2018,5
Tyler Boyd,CIN,WR,4.8,3.8,12.2,33.1,4,7,57.14,44,0,2.9,4.7,-1.8,2018,5
Albert Wilson,MIA,WR,7,3.8,1,2.93,5,6,83.33,43,0,9.1,9.6,-0.5,2018,5
Golden Tate,DET,WR,6.7,4.1,7.6,22.11,5,7,71.43,42,0,5.3,4.2,1.1,2018,5
Seth Roberts,OAK,WR,6.6,2,13.8,41.25,4,7,57.14,41,0,1.3,5.2,-3.9,2018,5
Kyle Rudolph,MIN,TE,6.6,5.5,2.6,6.4,5,5,100,41,0,5.6,7.2,-1.6,2018,5
Calvin Ridley,ATL,WR,7.5,4.6,10.7,15.99,4,5,80,38,0,4.1,9,-4.9,2018,5
Ian Thomas,CAR,TE,3.9,2.4,10.8,22.14,3,6,50,38,0,3.8,4.7,-1,2018,5
Kendrick Bourne,SF,WR,6.7,3.1,5.1,13.38,4,7,57.14,33,0,3.6,3.5,0.1,2018,5
James O'Shaughnessy,JAX,TE,4.2,3,8.1,7.75,3,6,50,27,0,7.5,4.1,3.4,2018,5
Mike Gesicki,MIA,TE,6.2,1.5,11.3,27.88,3,5,60,26,0,2.6,3.4,-0.8,2018,5
Jarius Wright,CAR,WR,6.2,2.9,8.5,17.41,3,6,50,25,0,6.2,4.8,1.4,2018,5
Chad Williams,ARI,WR,3.8,2.5,11.1,24.64,2,6,33.33,23,0,2.1,0.6,1.4,2018,5
Antonio Callaway,CLE,WR,4,2.8,10,13.61,3,5,60,22,0,6.7,6.8,-0.1,2018,5
Chris Conley,KC,WR,8.3,3.9,9.6,13.77,2,5,40,21,0,6.8,5.2,1.6,2018,5
Jared Cook,OAK,TE,6.4,3.2,6.6,17.07,4,6,66.67,20,0,0.3,5,-4.7,2018,5
Courtland Sutton,DEN,WR,5.3,2.2,12.6,20.87,2,6,33.33,18,1,2.7,2.2,0.5,2018,5
Kenny Stills,MIA,WR,4.8,2.7,23.2,57.1,2,5,40,17,0,-1.3,0.5,-1.9,2018,5
Zach Pascal,IND,WR,4.4,1.6,9.8,14.22,1,7,14.29,12,0,2.3,5.3,-3,2018,5
Ricky Seals-Jones,ARI,TE,5.5,1.9,19.4,35.85,0,5,--,,0,--,--,--,2018,5
Julian Edelman,NE,WR,5.5,4.1,4.8,16.14,7,9,77.78,57,0,4.7,3.7,0.9,2018,5
Corey Davis,TEN,WR,5.7,3.1,6.9,21.26,4,6,66.67,49,0,5.9,6.5,-0.6,2018,5
Maurice Harris,WAS,WR,5.7,2.6,13.6,32.12,3,8,37.5,47,0,3.9,5.8,-1.9,2018,5
Alshon Jeffery,PHI,WR,5.7,3.4,14,36.89,2,8,25,39,0,10,3.7,6.3,2018,5
Taywan Taylor,TEN,WR,6.1,3.1,9.8,25.1,3,5,60,30,0,4.6,2.6,1.9,2018,5
Kelvin Benjamin,BUF,WR,7.4,2,18,54.41,1,5,20,11,0,0.7,2.1,-1.4,2018,5
Quincy Enunwa,NYJ,WR,8.8,2.6,11.3,24.67,0,5,--,,0,--,--,--,2018,5
George Kittle,SF,TE,9,3.5,3.4,9.02,5,7,71.43,83,0,13.6,7.2,6.4,2018,5
Albert Wilson,MIA,WR,6,3.8,5.4,17.88,6,9,66.67,155,2,23.2,5.4,17.7,2018,6
Julio Jones,ATL,WR,7.2,3.4,13.2,47.54,10,14,71.43,144,0,6.1,7.6,-1.5,2018,6
Tyreek Hill,KC,WR,6.2,3.2,14.8,57.17,7,12,58.33,142,3,5.5,3,2.4,2018,6
Davante Adams,GB,WR,3.5,3,11.8,47.75,10,16,62.5,132,2,3.3,4.2,-0.9,2018,6
Marquise Goodwin,SF,WR,4.2,4.2,23.4,66.09,4,5,80,126,2,10.4,7.6,2.7,2018,6
Adam Thielen,MIN,WR,6.4,2.7,8.1,54.46,11,13,84.62,123,1,3.2,5.1,-1.9,2018,6
Emmanuel Sanders,DEN,WR,6.6,4.9,10.5,29.91,7,10,70,115,1,6.7,5.8,0.9,2018,6
JuJu Smith-Schuster,PIT,WR,4.9,2.7,16,42.04,7,10,70,111,0,3.7,4,-0.3,2018,6
Taylor Gabriel,CHI,WR,6,3.6,16.6,25.91,5,5,100,110,0,5.4,6.6,-1.2,2018,6
Robert Woods,LAR,WR,7.4,2.5,9,36.51,7,10,70,109,0,9.5,7.8,1.6,2018,6
Antonio Brown,PIT,WR,5.7,3.6,9.4,14.85,5,6,83.33,105,1,16.1,7.6,8.6,2018,6
Jimmy Graham,GB,TE,4.2,3.6,8.6,19.53,5,9,55.56,104,0,13.3,9.9,3.4,2018,6
Marquez Valdes-Scantling,GB,WR,6.7,5.4,12,18.2,3,6,50,103,0,19,15.5,3.4,2018,6
Cole Beasley,DAL,WR,5.7,3.3,7.4,31.33,9,11,81.82,101,2,3.4,4.7,-1.3,2018,6
Jermaine Kearse,NYJ,WR,5.3,5.2,5.5,26.31,9,10,90,94,0,5.2,4.6,0.7,2018,6
Michael Crabtree,BAL,WR,5.1,4.9,14.5,38.67,6,9,66.67,93,1,2.1,5.2,-3.1,2018,6
Doug Baldwin,SEA,WR,4.9,2.6,16.2,55.27,6,8,75,91,0,4.5,5.4,-0.9,2018,6
Nelson Agholor,PHI,WR,3.5,5.3,11.1,23.51,3,5,60,91,0,16.1,9,7,2018,6
A.J. Green,CIN,WR,4.7,2.5,11,34.27,7,12,58.33,85,0,2,3.9,-1.9,2018,6
Damion Ratley,CLE,WR,5.6,2.5,15.4,26.82,6,8,75,82,0,2,1.1,0.9,2018,6
Christian Kirk,ARI,WR,6.7,3.7,7.6,24.29,6,7,85.71,77,0,4.6,6.4,-1.8,2018,6
DeSean Jackson,TB,WR,4.4,2.4,20.2,39.81,4,9,44.44,77,0,2.8,4.3,-1.6,2018,6
Devin Funchess,CAR,WR,6.3,2.2,15.6,37.53,5,8,62.5,74,1,1.7,3.9,-2.2,2018,6
Austin Hooper,ATL,TE,5.7,3.1,6.1,15.64,9,10,90,71,1,1.7,3,-1.2,2018,6
Eric Ebron,IND,TE,5.6,2.4,14.5,25.89,4,7,57.14,71,1,3,4.9,-1.9,2018,6
Alshon Jeffery,PHI,WR,4.8,2.3,8.9,45.24,8,12,66.67,71,2,4.4,4,0.3,2018,6
Ricky Seals-Jones,ARI,TE,4.1,1.9,10.7,29.14,5,6,83.33,69,0,2.5,2.7,-0.2,2018,6
Vance McDonald,PIT,TE,5.8,3.3,1.8,3.75,7,8,87.5,68,0,7.9,6.9,1,2018,6
Allen Robinson,CHI,WR,7.6,2.6,11.2,20.88,5,6,83.33,64,1,3,1.4,1.5,2018,6
DeAndre Hopkins,HOU,WR,4.2,2.6,6,16.68,5,6,83.33,63,1,6.4,3.9,2.5,2018,6
Tyler Boyd,CIN,WR,5.1,2.2,8,18.64,7,9,77.78,62,2,1.8,1.5,0.3,2018,6
Keenan Allen,LAC,WR,3.9,3.7,7.4,19.02,4,6,66.67,62,0,7.9,7.8,0.2,2018,6
Travis Kelce,KC,TE,5.2,2.8,7.4,21.48,5,9,55.56,61,0,7.3,8.6,-1.3,2018,6
Willie Snead,BAL,WR,7.8,3.7,11.6,34.23,7,10,70,60,0,3.6,7.4,-3.8,2018,6
D.J. Moore,CAR,WR,7.3,3.1,8.6,13.03,4,5,80,59,0,7.3,5.7,1.6,2018,6
Danny Amendola,MIA,WR,6.6,3.2,5.6,22.42,8,11,72.73,59,0,1.9,2.2,-0.3,2018,6
Mike Evans,TB,WR,6.5,2,13,14.23,4,5,80,58,0,1.4,2.9,-1.5,2018,6
Terrelle Pryor,NYJ,WR,5.3,3.5,6.2,17.9,5,6,83.33,57,1,4.9,5.5,-0.7,2018,6
Chris Godwin,TB,WR,5.7,1.3,11,21.53,6,9,66.67,56,1,2.7,2.2,0.5,2018,6
David Njoku,CLE,TE,6,2.2,8.3,21.54,7,12,58.33,55,1,2.8,2.9,-0.1,2018,6
Chester Rogers,IND,WR,5,3.2,7.3,18.55,4,10,40,55,1,7.1,8.6,-1.5,2018,6
Julian Edelman,NE,WR,5.8,2.6,11.3,25.37,4,7,57.14,54,1,2.7,3.8,-1.2,2018,6
C.J. Uzomah,CIN,TE,3.9,2.4,9.2,16.67,6,7,85.71,54,0,1.5,1.5,0,2018,6
Brandin Cooks,LAR,WR,6.5,2.5,20.1,48.57,2,6,33.33,53,0,6,9.7,-3.7,2018,6
Greg Olsen,CAR,TE,5.1,3.9,7.3,15.29,4,7,57.14,48,0,7.4,10,-2.6,2018,6
Odell Beckham,NYG,WR,6,3.6,6.3,25.24,6,10,60,44,0,5.2,3.9,1.3,2018,6
Kelvin Benjamin,BUF,WR,8.3,2.1,15.1,39.06,2,6,33.33,43,0,6.3,5,1.3,2018,6
Zach Ertz,PHI,TE,8,2,6.7,25.4,7,9,77.78,43,1,0.2,1.2,-1.1,2018,6
Torrey Smith,CAR,WR,6.3,4.1,8.6,12.95,5,5,100,43,1,0,1.4,-1.4,2018,6
Josh Gordon,NE,WR,3.3,1.5,10.4,29.86,5,9,55.56,42,0,3.9,4.3,-0.4,2018,6
Keelan Cole,JAX,WR,5.3,2,9.4,22.83,4,5,80,41,0,3.5,2.1,1.4,2018,6
Robby Anderson,NYJ,WR,7.6,2.8,14.1,34.07,3,5,60,39,0,7.9,11.8,-3.9,2018,6
Larry Fitzgerald,ARI,WR,5.8,1.6,7.8,28.34,5,8,62.5,39,0,2.9,2.8,0.1,2018,6
Dede Westbrook,JAX,WR,5.8,2.8,11.3,27.56,3,5,60,38,1,4.5,6.4,-1.9,2018,6
Jordan Reed,WAS,TE,6.8,3.7,5.6,18.98,5,9,55.56,36,0,4.2,3.8,0.4,2018,6
Zay Jones,BUF,WR,8.5,2.2,11.2,38.82,3,8,37.5,35,1,0.3,1.5,-1.2,2018,6
